Id,Date,Seconds,Latitude,Longitude,Altitude,Heading,Speed
MNR4775,06/18/10,78804.00,51.448633,-90.219367,1272.00,-1.00,0.00
MNR4775,06/18/10,78865.00,51.448633,-90.219367,1264.00,-1.00,0.00
MNR4775,06/18/10,78926.00,51.448633,-90.219367,1264.00,-1.00,0.00
MNR4775,06/18/10,78986.00,51.448633,-90.219367,1256.00,-1.00,0.00
MNR4775,06/18/10,79046.00,51.447283,-90.219483,1256.00,90.00,12.00
MNR4775,06/18/10,79106.00,51.447350,-90.210933,1226.00,89.00,19.00
MNR4775,06/18/10,79113.00,51.447350,-90.209950,1216.00,-1.00,18.00
MNR4775,06/18/10,79171.00,51.447300,-90.203533,1223.00,133.00,7.00
MNR4775,06/18/10,79232.00,51.446483,-90.212983,1266.00,269.00,95.00
MNR4775,06/18/10,79350.00,51.473633,-90.308433,3880.00,306.00,136.00
MNR4775,06/18/10,79411.00,51.497200,-90.361067,4687.00,303.00,166.00
MNR4775,06/18/10,79471.00,51.521167,-90.424383,4746.00,298.00,159.00
MNR4775,06/18/10,79489.00,51.527167,-90.443733,4688.00,-1.00,164.00
MNR4775,06/18/10,79497.00,51.529667,-90.452733,4640.00,-1.00,166.00
MNR4775,06/18/10,79507.00,51.532617,-90.464017,4664.00,-1.00,163.00
MNR4775,06/18/10,79517.00,51.535567,-90.475200,4648.00,-1.00,163.00
MNR4775,06/18/10,79527.00,51.538633,-90.486117,4704.00,-1.00,159.00
MNR4775,06/18/10,79586.00,51.557333,-90.549233,4716.00,296.00,157.00
MNR4775,06/18/10,79646.00,51.576967,-90.612367,4716.00,295.00,160.00
MNR4775,06/18/10,79706.00,51.596950,-90.676950,4719.00,301.00,164.00
MNR4775,06/18/10,79766.00,51.622500,-90.737300,4683.00,308.00,163.00
MNR4775,06/18/10,79827.00,51.652600,-90.793767,4634.00,311.00,165.00
MNR4775,06/18/10,79887.00,51.682933,-90.850617,4785.00,308.00,166.00
MNR4775,06/18/10,79947.00,51.711150,-90.910783,4660.00,305.00,168.00
MNR4775,06/18/10,80007.00,51.736333,-90.973183,4677.00,300.00,166.00
MNR4775,06/18/10,80067.00,51.759233,-91.038133,4696.00,299.00,164.00
MNR4775,06/18/10,80126.00,51.781383,-91.101467,4519.00,298.00,169.00
MNR4775,06/18/10,80187.00,51.803100,-91.166150,4585.00,297.00,158.00
MNR4775,06/18/10,80247.00,51.823800,-91.230617,4523.00,297.00,163.00
MNR4775,06/18/10,80306.00,51.843200,-91.293533,4677.00,296.00,157.00
MNR4775,06/18/10,80367.00,51.863333,-91.358067,4733.00,300.00,158.00
MNR4775,06/18/10,80427.00,51.884967,-91.422400,4578.00,297.00,164.00
MNR4775,06/18/10,80487.00,51.906083,-91.487500,4857.00,298.00,164.00
MNR4775,06/18/10,80547.00,51.926483,-91.554133,4693.00,296.00,166.00
MNR4775,06/18/10,80608.00,51.947750,-91.622817,4565.00,296.00,165.00
MNR4775,06/18/10,80668.00,51.968133,-91.689183,4496.00,296.00,165.00
MNR4775,06/18/10,80728.00,51.988600,-91.754117,4487.00,295.00,162.00
MNR4775,06/18/10,80788.00,52.007183,-91.817733,4588.00,295.00,155.00
MNR4775,06/18/10,80847.00,52.025033,-91.880817,4660.00,294.00,157.00
MNR4775,06/18/10,80907.00,52.043117,-91.947267,4595.00,293.00,160.00
MNR4775,06/18/10,80968.00,52.061583,-92.012867,4713.00,296.00,159.00
MNR4775,06/18/10,81027.00,52.081733,-92.076567,4690.00,297.00,160.00
MNR4775,06/18/10,81087.00,52.104283,-92.140533,4700.00,301.00,162.00
MNR4775,06/18/10,81147.00,52.128567,-92.202200,4838.00,301.00,162.00
MNR4775,06/18/10,81207.00,52.152500,-92.266450,4926.00,301.00,164.00
MNR4775,06/18/10,81267.00,52.176483,-92.332167,4690.00,301.00,166.00
MNR4775,06/18/10,81328.00,52.200667,-92.395250,4834.00,300.00,160.00
MNR4775,06/18/10,81387.00,52.223183,-92.458133,4559.00,299.00,173.00
MNR4775,06/18/10,81448.00,52.246567,-92.524533,4723.00,299.00,162.00
MNR4775,06/18/10,81508.00,52.267200,-92.590583,4634.00,297.00,163.00
MNR4775,06/18/10,81567.00,52.288983,-92.652800,4690.00,300.00,165.00
MNR4775,06/18/10,81627.00,52.310617,-92.718617,4706.00,297.00,163.00
MNR4775,06/18/10,81687.00,52.333233,-92.782867,4578.00,300.00,169.00
MNR4775,06/18/10,81746.00,52.356267,-92.847400,4637.00,300.00,162.00
MNR4775,06/18/10,81807.00,52.379383,-92.912083,4628.00,299.00,162.00
MNR4775,06/18/10,81867.00,52.401167,-92.976033,4523.00,301.00,163.00
MNR4775,06/18/10,81926.00,52.424117,-93.038183,4480.00,299.00,158.00
MNR4775,06/18/10,81986.00,52.444400,-93.101967,4670.00,297.00,159.00
MNR4775,06/18/10,82047.00,52.465400,-93.167667,4687.00,298.00,165.00
MNR4775,06/18/10,82106.00,52.485850,-93.232283,4624.00,296.00,159.00
MNR4775,06/18/10,82167.00,52.506550,-93.300433,4418.00,296.00,161.00
MNR4775,06/18/10,82227.00,52.526900,-93.365633,4667.00,298.00,160.00
MNR4775,06/18/10,82287.00,52.547667,-93.431317,4585.00,296.00,162.00
MNR4775,06/18/10,82347.00,52.565850,-93.498600,4470.00,292.00,165.00
